D	N	theta_moyen	        theta_goc	Δtheta
5	45	55.993540291905603	57.6514221	1.657881808094397
5	46	56.308239505852647	57.4326036	1.124364094147353
5	47	55.387421469990741	57.1800994	1.792677930009259
5	48	55.088627307662051	56.9676480	1.879020692337949
5	49	55.682289052654546	56.8441582	1.161869147345454
5	50	54.706623866886432	56.8441582	2.137534333113568
5	51	55.572882015710476	56.3071628	.734280784289524
5	52	54.180513729725490	55.9343732	1.753859470274510
5	53	54.087888960631830	55.4667168	1.378827839368170
5	54	54.396368735608725	55.1747097	.778340964391275
5	55	54.061450146597899	54.9279561	.866505953402101
5	56	54.410365403692346	54.7453222	.334956796307654
5	57	53.318143614105011	54.7356103	1.417466685894989
5	58	53.428346416450111	54.4462372	1.017890783549889
5	59	52.642770140667999	54.0539784	1.411208259332001
5	60	52.848550461442542	53.6051457	.756595238557458
5	61	52.190399809860963	53.3979587	1.207558890139037
5	62	51.951417199908583	53.2010567	1.249639500091417
5	63	51.537514531608593	52.8751126	1.337598068391407
5	64	52.156598271509012	52.7108774	.554279128490988
5	65	51.708941082844504	52.5214037	.812462617155496
5	66	51.373283564806542	52.4752830	1.101999435193458
5	67	50.544693398001044	52.2729583	1.728264901998956
5	68	50.596294199366980	52.0286818	1.432387600633020
5	69	51.325637951595859	51.9176291	.591991148404141
5	70	50.042012940661991	51.8973507	1.855337759338009
5	71	50.569997005327366	51.8317602	1.261763194672634
5	72	50.127454904430429	51.8317602	1.704305295569571
5	73	50.322887647351479	51.8272924	1.504404752648521
5	74	50.952062823903873	51.8272924	.875229576096127
5	75	50.210827691621844	51.3428135	1.131985808378156
5	76	50.272019731169266	50.8459281	.573908368830734
5	77	49.626910487782020	50.4692075	.842297012217980
5	78	49.825480513702310	50.1905273	.365046786297690
5	79	49.346200966632196	49.9276863	.581485333367804
5	80	48.843209548478796	49.6870598	.843850251521204
5	81	49.160515339823256	49.5416542	.381138860176744
5	82	48.767172381181780	49.3488655	.581693118818220
5	83	48.454061030472680	49.0496962	.595635169527320
5	84	47.700422514277072	48.8819546	1.181532085722928
5	85	47.797148796164684	48.7570741	.959925303835316
5	86	47.427483729111977	48.6290153	1.201531570888023
5	87	47.542664968400835	48.5000839	.957418931599165
5	88	47.278687944054397	48.3577476	1.079059655945603
5	89	47.201549757360667	48.2141763	1.012626542639333
5	90	46.922316960245226	48.1896851	1.267368139754774
5	91	47.112121297101133	47.9008875	.788766202898867
5	92	46.985303927742834	47.7716828	.786378872257166
5	93	46.667958997027895	47.6364239	.968464902972105
5	94	46.648663108036992	47.5270717	.878408591963008
5	95	45.866177284214118	47.4198451	1.553667815785882
5	96	46.203925678513194	47.3535100	1.149584321486806
5	97	46.148936008110425	47.2151568	1.066220791889575
5	98	46.038694569540930	47.1352000	1.096505430459070
5	99	46.171722309706738	46.9889294	.817207090293262
5	100	45.616236512035840	46.9094506	1.293214087964160
5	101	45.836297909627461	46.7465353	.910237390372539
5	102	45.554717320441689	46.5719302	1.017212879558311
5	103	45.564587399013405	46.4564803	.891892900986595
5	104	45.431559334075992	46.3923772	.960817865924008
5	105	45.528277795181019	46.3118627	.783584904818981
5	106	45.358348106287458	46.1395418	.781193693712542
5	107	45.314432221368918	46.0632232	.748790978631082
5	108	45.271481582754930	45.9430913	.671609717245070
5	109	45.052084240611748	45.8583450	.806260759388252
5	110	44.806860152142335	45.7248275	.917967347857665
5	111	44.762937980970804	45.6276320	.864694019029196
5	112	44.423696168501699	45.5373551	1.113658931498301
5	113	44.430752648020686	45.4294817	.998729051979314
5	114	44.374155884136407	45.3304185	.956262615863593
5	115	43.871749100586705	45.2457325	1.373983399413295
5	116	44.196452852608175	45.1419275	.945474647391825
5	117	44.115806307746503	45.0181994	.902393092253497
5	118	44.069408563434834	44.9252672	.855858636565166
5	119	43.809584077763695	44.8177246	1.008140522236305
5	120	43.567694975687097	44.7301784	1.162483424312903
5	121	43.896993639118755	44.6404435	.743449860881245
5	122	43.580243129565048	44.5817814	1.001538270434952
5	123	43.576885252077325	44.4453109	.868425647922675
5	124	43.438528909395998	44.3486865	.910157590604002
5	125	43.515077057210974	44.2250403	.709963242789026
5	126	43.158335758887041	44.1807177	1.022381941112959
5	127	43.296507731100185	44.0598726	.763364868899815
5	128	42.983592352382942	43.9739131	.990320747617058
5	129	42.952712139606433	43.8672061	.914493960393567
5	130	43.112015101442324	43.8024944	.690479298557676
